"date","ristorante","lordototale","weekday","LOCALITA.x","LOCALITA.y","FENOMENI","year","month","day","place","population","totale_casi"
"2018-10-15","R005",15992.186,"Monday","Pavia","Pavia","pioggia nebbia ",2018,10,15,"Voghera",39051,0
"2018-10-16","R000",13483.5414,"Tuesday","Pavia","Pavia","N",2018,10,16,"Montebello",1596,0
"2018-10-16","R001",31438.3447,"Tuesday","Piacenza","Piacenza","N",2018,10,16,"Piacenza",103904,0
"2018-10-16","R003",14600.0043,"Tuesday","Piacenza","Piacenza","N",2018,10,16,"Piacenza",103904,0
"2018-10-16","R004",23368.8616,"Tuesday","Pavia","Pavia","N",2018,10,16,"Stradella",11669,0
"2018-10-16","R005",17621.1406,"Tuesday","Pavia","Pavia","N",2018,10,16,"Voghera",39051,0
"2018-10-17","R000",14795.3946,"Wednesday","Pavia","Pavia","N",2018,10,17,"Montebello",1596,0
"2018-10-17","R001",36022.8925,"Wednesday","Piacenza","Piacenza","pioggia ",2018,10,17,"Piacenza",103904,0
"2018-10-17","R003",15617.3885,"Wednesday","Piacenza","Piacenza","pioggia ",2018,10,17,"Piacenza",103904,0
"2018-10-17","R004",22674.0304,"Wednesday","Pavia","Pavia","N",2018,10,17,"Stradella",11669,0
"2018-10-17","R005",18338.3977,"Wednesday","Pavia","Pavia","N",2018,10,17,"Voghera",39051,0
"2018-10-18","R000",14319.4947,"Thursday","Pavia","Pavia","N",2018,10,18,"Montebello",1596,0
"2018-10-18","R001",34219.1563,"Thursday","Piacenza","Piacenza","N",2018,10,18,"Piacenza",103904,0
"2018-10-18","R003",14937.9622,"Thursday","Piacenza","Piacenza","N",2018,10,18,"Piacenza",103904,0
"2018-10-18","R004",26137.531,"Thursday","Pavia","Pavia","N",2018,10,18,"Stradella",11669,0
"2018-10-18","R005",20496.6118,"Thursday","Pavia","Pavia","N",2018,10,18,"Voghera",39051,0
"2018-10-19","R000",28299.6686,"Friday","Pavia","Pavia","nebbia ",2018,10,19,"Montebello",1596,0
"2018-10-19","R001",51381.2887,"Friday","Piacenza","Piacenza","N",2018,10,19,"Piacenza",103904,0
"2018-10-19","R003",17496.332,"Friday","Piacenza","Piacenza","N",2018,10,19,"Piacenza",103904,0
"2018-10-19","R004",35856.8665,"Friday","Pavia","Pavia","nebbia ",2018,10,19,"Stradella",11669,0
"2018-10-19","R005",28175.8512,"Friday","Pavia","Pavia","nebbia ",2018,10,19,"Voghera",39051,0
"2018-10-20","R000",47465.2227,"Saturday","Pavia","Pavia","nebbia ",2018,10,20,"Montebello",1596,0
